URL,Title,Content
https://en.wikipedia.org/wiki/Paul_Klee,Paul Klee,"
 Paul Klee (German: [paʊ̯l ˈkleː]; 18 December 1879 – 29 June 1940) was a Swiss-born German artist. His highly individual style was influenced by movements in art that included expressionism, cubism, and surrealism. Klee was a natural draftsman who experimented with and eventually deeply explored color theory, writing about it extensively; his lectures Writings on Form and Design Theory (Schriften zur Form und Gestaltungslehre), published in English as the Paul Klee Notebooks, are held to be as important for modern art as Leonardo da Vinci's A Treatise on Painting was for the Renaissance.[1][2][3] He and his colleague, Russian painter Wassily Kandinsky, both taught at the Bauhaus school of art, design and architecture in Germany. His works reflect his dry humor and his sometimes childlike perspective, his personal moods and beliefs, and his musicality.
 First of all, the art of living; then as my ideal profession, poetry and philosophy, and as my real profession, plastic arts; in the last resort, for lack of income, illustrations. Paul Klee was born in Münchenbuchsee, Switzerland, as the second child of German music teacher Hans Wilhelm Klee (1849–1940) and Swiss singer Ida Marie Klee, born Frick (1855–1921).[a] His sister Mathilde (died 6 December 1953) was born on 28 January 1876 in Walzenhausen. Their father came from Tann and studied singing, piano, organ and violin at the Stuttgart Conservatory, where he met his future wife Ida Frick. Hans Wilhelm Klee was active as a music teacher at the Bern State Seminary in Hofwil near Bern until 1931. Klee was able to develop his music skills as his parents encouraged and inspired him throughout his life.[5]
In 1880, his family moved to Bern, where they eventually, in 1897, after a number of changes of residence, moved into their own house in the Kirchenfeld district [de].[6] From 1886 to 1890, Klee visited primary school and received, at the age of 7, violin classes at the Municipal Music School. He was so talented on violin that, aged 11, he received an invitation to play as an extraordinary member of the Bern Music Association.[7] His other hobbies, drawing and writing poems, were not fostered in the same way as music was.[8]
 In his early years, following his parents' wishes, Klee focused on becoming a musician; but he decided on the visual arts during his teen years, partly out of rebellion and partly because modern music lacked meaning for him. He stated, ""I didn't find the idea of going in for music creatively particularly attractive in view of the decline in the history of musical achievement.""[9] As a musician, he played and felt emotionally bound to traditional works of the eighteenth and nineteenth century, but as an artist he craved the freedom to explore radical ideas and styles.[9] At sixteen, Klee's landscape drawings already show considerable skill.[10]
 Around 1897, Klee started his diary, which he kept until 1918, and which has provided scholars with valuable insight into his life and thinking.[11] During his school years, he avidly drew in his school books, in particular drawing caricatures, and already demonstrating skill with line and volume.[12] He barely passed his final exams at the ""Gymnasium"" of Bern, where he qualified in the Humanities. With his characteristic dry wit, he wrote, ""After all, it's rather difficult to achieve the exact minimum, and it involves risks.""[13] On his own time, in addition to his deep interests in music and art, Klee was a great reader of literature, and later a writer on art theory and aesthetics.[14]
 With his parents' reluctant permission, in 1898 Klee began studying art at the Academy of Fine Arts in Munich with Heinrich Knirr and Franz von Stuck.  He excelled at drawing but seemed to lack any natural color sense.  He later recalled, ""During the third winter I even realized that I probably would never learn to paint.""[13] During these times of youthful adventure, Klee spent much time in pubs and had affairs with lower-class women and artists' models. He had an illegitimate son in 1900 who died several weeks after birth.[15]
 After receiving his Fine Arts degree, Klee traveled in Italy from October 1901 to May 1902[16] with friend Hermann Haller. They visited Rome, Florence, Naples and the Amalfi Coast, studying the master painters of past centuries.[15] He exclaimed, ""The Forum and the Vatican have spoken to me.  Humanism wants to suffocate me.""[17] He responded to the colors of Italy, but sadly noted, ""that a long struggle lies in store for me in this field of color.""[18] For Klee, color represented the optimism and nobility in art, and a hope for relief from the pessimistic nature he expressed in his black-and-white grotesques and satires.[18] Returning to Bern, he lived with his parents for several years, and took occasional art classes. By 1905, he was developing some experimental techniques, including drawing with a needle on a blackened pane of glass, resulting in fifty-seven works including his Portrait of My Father (1906).[12] In the years 1903–05 he also completed a cycle of eleven zinc-plate etchings called Inventions, his first exhibited works, in which he illustrated several grotesque characters.[15][19] He commented, ""though I'm fairly satisfied with my etchings I can't go on like this.  I'm not a specialist.""[20] Klee was still dividing his time with music, playing the violin in an orchestra and writing concert and theater reviews.[21]
 Klee married Bavarian pianist Lily Stumpf in 1906 and they had one son named Felix Paul in the following year.  They lived in a suburb of Munich, and while she gave piano lessons and occasional performances, he kept house and tended to his art work. His attempt to be a magazine illustrator failed.[21] Klee's art work progressed slowly for the next five years, partly from having to divide his time with domestic matters, and partly as he tried to find a new approach to his art.  In 1910, he had his first solo exhibition in Bern, which then travelled to three Swiss cities.
 In January 1911, Alfred Kubin met Klee in Munich and encouraged him to illustrate Voltaire's Candide. His resultant drawings were published later in a 1920 version of the book edited by Kurt Wolff. Around this time, Klee's graphic work increased. His early inclination towards the absurd and the sarcastic was well received by Kubin, who befriended Klee and became one of his first significant collectors.[22] Klee met, through Kubin, the art critic Wilhelm Hausenstein in 1911. Klee was a foundation member and manager of the Munich artists' union Sema that summer.[23] In autumn he made an acquaintance with August Macke and Wassily Kandinsky, and in winter he joined the editorial team of the almanac Der Blaue Reiter, founded by Franz Marc and Kandinsky. On meeting Kandinsky, Klee recorded, ""I came to feel a deep trust in him.  He is somebody, and has an exceptionally beautiful and lucid mind.""[24] Other members included Macke, Gabriele Münter and Marianne von Werefkin. Klee became in a few months one of the most important and independent members of the Blaue Reiter, but he was not yet fully integrated.[25]
 The release of the almanac was delayed for the benefit of an exhibition. The first Blaue Reiter exhibition took place from 18 December 1911 to 1 January 1912 in the Moderne Galerie Heinrich Thannhauser in Munich. Klee did not attend it, but in the second exhibition, which occurred from 12 February to 18 March 1912 in the Galerie Goltz, 17 of his graphic works were shown. The name of this art exhibition was Schwarz-Weiß, as it only regarded graphic painting.[26] Initially planned to be released in 1911, the release date of the Der Blau Reiter almanac by Kandinsky and Marc was delayed in May 1912, including the reproduced ink drawing Steinhauer by Klee. At the same time, Kandinsky published his art history writing Über das Geistige in der Kunst.[27]
 The association opened Klee's mind to modern theories of color. His travels to Paris in 19"
https://en.wikipedia.org/wiki/List_of_paintings_by_Sofonisba_Anguissola,List of paintings by Sofonisba Anguissola,"
 The following is a list of paintings by Sofonisba Anguissola that are generally accepted as autograph.
"
https://en.wikipedia.org/wiki/ClearRx,ClearRx,"ClearRx is a trademark for a design for prescription drug packaging, designed by design student Deborah Adler as a thesis project and adopted by Target Corporation (with refinements by industrial designer Klaus Rosburg) for use in their in-store pharmacies in 2005.[1] The design is an attempt to clarify certain difficult aspects common to most prescription bottles used in the US.[2]
 The Clear Rx bottle design was created to replace the classic orange pill bottle, which had existed since just after World War 2. The orange bottle label's information was misleading, since the text was very small and most of the time the company logo was the most emphasized text on the bottle. Plus, warnings and cautions were printed on inadequate color combinations, making it hard to read.
 Bottles have a distinctive rounded-wedge shape and are designed to stand on their caps, with the label folding over the top of the bottle, where the name of the drug is printed in large print for easy identification. A cutout on the back of the bottle includes space for a data card describing the effects and risks of the medication. Fundamental to the design is a colored rubber ring that serves as a color code so different members of a household can distinguish their individual prescriptions. An overall priority is given to distinguishability; the most important information (patient name, drug name, instructions) are placed prominently on the upper half of the label. Other innovations include revised warning symbols and labels and a small magnifying strip that can be inserted into the side of the bottle for customers with visual impairments.[3]
 Liquid medicine bottles are not quite as distinctive, but feature a spill proof cap coupled with a dosing syringe that is claimed to be more accurate than spoon dispensing. The liquid medicine bottles also feature the color-coded ring around the neck.
 The design won the ""Design of the Decade"" award from the Industrial Designers Society of America in 2010[2] and is included in the Museum of Modern Art's permanent collection.
 After Target sold their in-store pharmacy and clinic operations to CVS Health in December 2015, CVS discontinued the use of ClearRx.[1]
"
https://en.wikipedia.org/wiki/Grid_Compass,Grid Compass,"The Grid Compass (written GRiD by its manufacturer GRiD Systems Corporation) is one of the first laptop computers.
 Development began in 1979, and the main buyer was the U.S. government. NASA used it on the Space Shuttle during the early 1980s, as it was powerful, lightweight, and compact. The military Special Forces also purchased the machine, as it could be used by paratroopers in combat.[5]
 Along with the Gavilan SC and Sharp PC-5000 released the following year, the GRiD Compass established much of the basic design of subsequent laptop computers, although the laptop concept itself owed much to the Dynabook project developed at Xerox PARC from the late 1960s. GRiD Systems Corporation subsequently earned significant returns on its patent rights as its innovations became commonplace.
 The portable Osborne 1 computer sold at around the same time as the GRiD, was more affordable and more popular, and ran the popular CP/M operating system. But, unlike the Compass, the Osborne was not a laptop and lacked the Compass's refinement and small size.
 The Compass ran its own operating system, GRiD-OS. Its specialized software and high price (US$8,000–$10,000) meant that it was limited to specialized applications.
 The initial model, the 1101, was introduced in April 1982;[3] The 1100 model designation were never released commercially, but featured in some pre-release marketing material.[6][7] The computer was designed by British industrial designer Bill Moggridge.
 The design used a clamshell case (where the screen folds flat to the rest of the computer when closed), which was made from a magnesium alloy. The computer featured an Intel 8086 processor, a 320 × 240-pixel electroluminescent display, 340-kilobyte magnetic bubble memory, and a 1200 bit/s modem. Devices such as hard drives and floppy drives could be connected via the IEEE-488 I/O (also known as GPIB or General Purpose Interface Bus).  This port made it possible to connect multiple devices to the addressable device bus. It weighed 5 kg (11 lb). The power input is ~110/220 V AC, 47–66 Hz, 75 W.
 The Compass II was released in 1984; known as 1121, 1129, 1131 and 1139 models.
"
https://en.wikipedia.org/wiki/List_of_paintings_by_Camille_Pissarro,List of paintings by Camille Pissarro,"This is an incomplete list of the paintings by the Danish-French Impressionist artist Camille Pissarro (1830–1903).
 The catalog numbers of the listed works are as given in the Catalogue Raisonné of the Wildenstein Institute.[1]
"
https://en.wikipedia.org/wiki/The_Sleeping_Gypsy,The Sleeping Gypsy,"The Sleeping Gypsy  (French: La Bohémienne endormie) is an 1897 oil on canvas painting by the French Naïve artist Henri Rousseau (1844–1910). It is a fantastical depiction of a lion musing over a sleeping woman on a moonlit night.  It is held by the Museum of Modern Art in New York City, to which it was donated by Mrs. Simon Guggenheim in 1939. 
 Rousseau described his painting as follows: ""A wandering Negress, a mandolin player, lies with her jar beside her (a vase with drinking water), overcome by fatigue in a deep sleep. A lion chances to pass by, picks up her scent yet does not devour her. There is a moonlight effect, very poetic. The scene is set in a completely arid desert.  The gypsy is dressed in oriental costume.""[1]
 In the painting, a dark-skinned woman – the Romany gypsy of the title, variously linked in French literature to Bohemia or to Egypt[2] – is sleeping in an arid landscape with mountains in the background, under a dark sky with a few stars and a full moon.  She is wearing a long robe with a rainbow of colourful stripes, perhaps a djellaba or jellabiya, and lies upon a similarly striped cloth.  Her right hand holds a staff, while beside her rests a mandolin and a tall jar with slim neck.  While she continues to lie passively, a maned lion has approached and dips its head to cautiously sniff.  
 The painting measures 129.5 cm × 200.7 cm (51.0 in × 79.0 in).  Although painted in a naïve manner, with simple shapes and large blocks of colour, the painting may be based on Rousseau's observations of animals at the Jardin des Plantes and of reconstructed colonial villages at the 1889 World's Fair in Paris.
 Rousseau first exhibited the painting at the 13th Salon des Indépendants in 1897, and tried unsuccessfully to sell it to the mayor of his hometown, Laval. Instead, it entered the private collection of a Parisian charcoal merchant where it remained until 1924, when it was discovered and bought by the art critic Louis Vauxcelles.  The Paris-based art dealer Daniel-Henry Kahnweiler purchased the painting in 1924, although a controversy arose over whether the painting was a forgery. It was acquired by art historian Alfred H. Barr Jr. for the New York Museum of Modern Art.
 It was bought by John Quinn in 1924, and after his death later that year his estate sold at Hôtel Drouot to Henri Bing [de], who sold to Mme Emma Ruckstuhl of Küssnacht in Switzerland.  She sold to  Mrs. Simon Guggenheim  in December 1939, who donated it to the Museum of Modern Art.[3][4]
 The painting also became the subject of a Between the Lions episode, in which the cubs try to tell their own stories based on the painting. In the episode, the mandolin was misreferred to several times as a lute.
"
https://en.wikipedia.org/wiki/List_of_paintings_by_Paul_Gauguin,List of paintings by Paul Gauguin,"
 This is an incomplete list of paintings by the French painter Paul Gauguin.
 Paul Gauguin (1848–1903) was a leading 19th-century Post-Impressionist artist, painter, sculptor, printmaker, ceramist and writer. His bold experimentation with color directly influenced modern art in the 20th century while his expression of the inherent meaning of the subjects in his paintings, under the influence of the cloisonnist style, paved the way to Primitivism and the return to the pastoral. He was also an influential proponent of wood engraving and woodcuts as art forms.[1][2]
"
https://en.wikipedia.org/wiki/Henri_Matisse,Henri Matisse,"
 Henri Émile Benoît Matisse (French: [ɑ̃ʁi emil bənwa matis]; 31 December 1869 – 3 November 1954) was a French visual artist, known for both his use of colour and his fluid and original draughtsmanship. He was a draughtsman, printmaker, and sculptor, but is known primarily as a painter.[1]
Matisse is commonly regarded, along with Pablo Picasso, as one of the artists who best helped to define the revolutionary developments in the visual arts throughout the opening decades of the twentieth century, responsible for significant developments in painting and sculpture.[2][3][4][5]
 The intense colourism of the works he painted between 1900 and 1905 brought him notoriety as one of the Fauves (French for ""wild beasts""). Many of his finest works were created in the decade or so after 1906, when he developed a rigorous style that emphasized flattened forms and decorative pattern. In 1917, he relocated to a suburb of Nice on the French Riviera, and the more relaxed style of his work during the 1920s gained him critical acclaim as an upholder of the classical tradition in French painting.[6] After 1930, he adopted a bolder simplification of form. When ill health in his final years prevented him from painting, he created an important body of work in the medium of cut paper collage.
 His mastery of the expressive language of colour and drawing, displayed in a body of work spanning over a half-century, won him recognition as a leading figure in modern art.[7]
 Matisse was born in Le Cateau-Cambrésis, in the Nord department in Northern France on New Year's Eve in 1869, the oldest son of a wealthy grain merchant.[8] He grew up in Bohain-en-Vermandois, Picardie. In 1887, he went to Paris to study law, working as a court administrator in Le Cateau-Cambrésis after gaining his qualification. He first started to paint in 1889, after his mother brought him art supplies during a period of convalescence following an attack of appendicitis. He discovered ""a kind of paradise"" as he later described it,[9] and decided to become an artist, deeply disappointing his father.[10][11]
 In 1891, he returned to Paris to study art at the Académie Julian under William-Adolphe Bouguereau and at the École Nationale des Beaux-Arts under Gustave Moreau. Initially he painted still lifes and landscapes in a traditional style, at which he achieved reasonable proficiency. Matisse was influenced by the works of earlier masters such as Jean-Baptiste-Siméon Chardin, Nicolas Poussin, and Antoine Watteau, as well as by modern artists, such as Édouard Manet, and by Japanese art. Chardin was one of the painters Matisse most admired; as an art student he made copies of four of Chardin's paintings in the Louvre.[12]
 
In 1896, Matisse, an unknown art student at the time, visited the Australian painter John Russell on the island of Belle Île off the coast of Brittany.[13][14] Russell introduced him to Impressionism and to the work of Vincent van Gogh—who had been a friend of Russell—and gave him a Van Gogh drawing. Matisse's style changed completely; abandoning his earth-coloured palette for bright colours. He later said Russell was his teacher, and that Russell had explained colour theory to him.[11] The same year, Matisse exhibited five paintings in the salon of the Société Nationale des Beaux-Arts, two of which were purchased by the state.[15][14][16] With the model Caroline Joblau, he had a daughter, Marguerite, born in 1894. In 1898, he married Amélie Noellie Parayre; the two raised Marguerite together and had two sons, Jean (born 1899) and Pierre (born 1900). Marguerite and Amélie often served as models for Matisse.[17]
 In 1898, on the advice of Camille Pissarro, he went to London to study the paintings of J. M. W. Turner and then went on a trip to Corsica.[18] Upon his return to Paris in February 1899, he worked beside Albert Marquet and met André Derain, Jean Puy,[19] and Jules Flandrin.[20] Matisse immersed himself in the work of others and went into debt from buying work from painters he admired. The work he hung and displayed in his home included a plaster bust by Rodin, a painting by Gauguin, a drawing by Van Gogh, and Cézanne's Three Bathers. In Cézanne's sense of pictorial structure and colour, Matisse found his main inspiration.[19]
 Many of Matisse's paintings from 1898 to 1901 make use of a Divisionist technique he adopted after reading Paul Signac's essay, ""D'Eugène Delacroix au Néo-impressionisme"".[18]
 In May 1902, Amélie's parents became ensnared in a major financial scandal, the Humbert Affair. Her mother (who was the Humbert family's housekeeper) and father became scapegoats in the scandal, and her family was menaced by angry mobs of fraud victims.[21] According to art historian Hilary Spurling, ""their public exposure, followed by the arrest of his father-in-law, left Matisse as the sole breadwinner for an extended family of seven.""[21] During 1902 to 1903, Matisse adopted a style of painting that was comparatively somber and concerned with form, a change possibly intended to produce saleable works during this time of material hardship.[21] Having made his first attempt at sculpture, a copy after Antoine-Louis Barye, in 1899, he devoted much of his energy to working in clay, completing The Slave in 1903.[22]
 Fauvism as a style began around 1900 and continued beyond 1910. The movement as such lasted only a few years, 1904–1908, and had three exhibitions.[23][24] The leaders of the movement were Matisse and André Derain.[23] Matisse's first solo exhibition was at Ambroise Vollard's gallery in 1904,[19] without much success. His fondness for bright and expressive colour became more pronounced after he spent the summer of 1904 painting in St. Tropez with the neo-Impressionists Signac and Henri-Edmond Cross.[18] In that year, he painted the most important of his works in the neo-Impressionist style, Luxe, Calme et Volupté.[18] In 1905, he travelled southwards again to work with André Derain at Collioure. His paintings of this period are characterised by flat shapes and controlled lines, using pointillism in a less rigorous way than before.
 Matisse and a group of artists now known as ""Fauves"" exhibited together in a room at the Salon d'Automne in 1905. The paintings expressed emotion with wild, often dissonant colours, without regard for the subject's natural colours. Matisse showed Open Window and Woman with the Hat at the Salon. Critic Louis Vauxcelles commented on a lone sculpture surrounded by an ""orgy of pure tones"" as ""Donatello chez les fauves"" (Donatello among the wild beasts),[25] referring to a Renaissance-type sculpture that shared the room with them.[26] His comment was printed on 17 October 1905 in Gil Blas, a daily newspaper, and passed into popular usage.[23][26] The exhibition garnered harsh criticism—""A pot of paint has been flung in the face of the public"", said the critic Camille Mauclair—but also some favourable attention.[26] When the painting that was singled out for special condemnation, Matisse's Woman with a Hat, was bought by Gertrude and Leo Stein, the embattled artist's morale improved considerably.[26]
 Matisse was recognised as a leader of the Fauves, along with André Derain; the two were friendly rivals, each with his own followers. Other members were Georges Braque, Raoul Dufy, and Maurice de Vlaminck. The Symbolist painter Gustave Moreau (1826–1898) was the movement's inspirational teacher. As a professor at the École des Beaux-Arts in Paris, he pushed his students to think outside of the lines of formality and to follow their visions.
 In 1907, Guillaume Apollinaire, commenting about Matisse in an article published in La Falange, wrote, ""We are not here in the presence of an extravagant or an extremist undertaking: Matisse's art is eminently reasonable.""[27] But Matisse's work of the time also encountered vehement criticism, and it was difficult for him to provide for his family.[11] His painting Nu bleu (1907) was burned in effigy at the Armory Show"
https://en.wikipedia.org/wiki/List_of_works_by_De_Es_Schwertberger,List of works by De Es Schwertberger,"
 This article is a list of work by De Es Schwertberger (born 1942), an Austrian artist, painter, and modeller.
 De Es Schwertberger's works have been exhibited in the following one-person exhibits, group shows, and portfolios:
"
https://en.wikipedia.org/wiki/Ronald_Davis,Ronald Davis,"Ronald ""Ron"" Davis (born 1937) is an American painter whose work is associated with geometric abstraction, abstract illusionism, lyrical abstraction,[1][2] hard-edge painting, shaped canvas painting, color field painting, and 3D computer graphics. He is a veteran of nearly seventy solo exhibitions and hundreds of group exhibitions.
 Born in Santa Monica, California, he was raised in Cheyenne, Wyoming. In 1955–56 he attended the University of Wyoming. In 1959 at the age of 22 he became interested in painting. In 1960–64 he attended the San Francisco Art Institute. Abstract expressionism, the prevailing artistic movement of the time, would have an influence on many of his future works.  In 1962 he was a Yale-Norfolk Summer School Grantee. In 1963 his paintings became hard-edged, geometric and optical in style, and by 1964 his works were shown in important museums and galleries. He lived and worked in Los Angeles, 1965–71, and in Malibu, California, 1972–90. Since 1991 he has lived and worked in Arroyo Hondo on the outskirts of Taos, New Mexico.
 Ronald Davis from the earliest days of his career had a significant impact on contemporary abstract painting of the mid-1960s. According to art critic Michael Fried:
 Ron Davis is a young California artist whose new paintings, recently shown at the Tibor de Nagy Gallery in New York, are among the most significant produced anywhere during the past few years, and place him, along with Stella and Bannard, at the forefront of his generation.[3]  He had his first one-person exhibition at the Nicholas Wilder Gallery in Los Angeles in 1965.[4]
 Barbara Rose wrote an in depth essay about Davis' paintings of the 1960s in the catalogue accompanying an exhibition of his Dodecagon Series in 1989 in Los Angeles. Among other observations she wrote:
 Davis saw a way to use Duchamp's perspective studies and transparent plane in The Large Glass for pictorial purposes. Instead of glass, he used fiberglass to create a surface that was equally transparent and detached from any illusion of reality. Because his colored pigments are mixed into a fluid resin and harden quickly, multiple layers of color may be applied without becoming muddy. his is essentially an inversion of Old Master layering and glazing except that color is applied behind rather than on top of the surface.
 Alone among his contemporaries, Davis was equally concerned with traditional problems of painting: space, scale, detail, color relationships and illusions as he was with the California emphasis on hi-tech craft and industrial materials. How to reconcile the literal object produced with the latest technology with transcendental metaphor became the problem that occupied throughout the Sixties.[5]  In an Artforum article in 1970 artist/art critic Walter Darby Bannard commented: ""Though Davis is plagued by 'series' ideas, and has yet to get a grip on the inherent monumentality of his style, he is young and inspired, and these things will evolve naturally.""[6] From 1966 to 1972, Ron Davis created geometric shaped, illusionistic paintings using polyester resins and fiberglass. About Davis' paintings of the late 1960s in an essay accompanying the Ronald Davis retrospective exhibition Forty Years of Abstraction, at the Butler Institute of American Art in 2002, the abstract painter Ronnie Landfield wrote: ""the Dodecagons from 1968–69 remain among the most visually stunning, audacious and intellectually interesting bodies of work made by an abstract painter in the last half of the twentieth century.""[7]
 In 1966 Davis was an instructor at the University of California, Irvine. Also in that year he had his first one-man exhibition at the Tibor de Nagy Gallery in New York City and a solo exhibition at Leo Castelli Gallery in 1968.
 His works are held in the collections of the Museum of Modern Art in New York City,[8] the Tate Gallery, London,[9] the Los Angeles County Museum of Art and the Art Institute of Chicago and he has been awarded a National Endowment for the Arts grant. Since the 1990s, he has worked in digital painting and digital art.[10]
"
