URL,Title,Content
"https://en.wikipedia.org/wiki/Coast_Scene,_Isles_of_Shoals","Coast Scene, Isles of Shoals","Coast Scene, Isles of Shoals is a 1901 painting by the American Impressionist painter Childe Hassam, which is in the collection of the Metropolitan Museum of Art.[1]
 Done in oil on canvas in luminous colors, the painting depicts the remote Isles of Shoals off the rocky shoreline of New England, a favorite haunt of Childe Hassam at the end of the 19th century and where he painted a series of similar coastal scenes.
 The painting is accompanied at the Metropolitan Museum of Art by Surf, Isles of Shoals, a similar work by Hassam.
 This Metropolitan Museum of Art article is a stub. You can help Wikipedia by expanding it. This article about a twentieth-century painting is a stub. You can help Wikipedia by expanding it."
https://en.wikipedia.org/wiki/The_Gulf_Stream_(painting),The Gulf Stream (painting),"The Gulf Stream is an 1899 oil painting by Winslow Homer.[1] It shows a man in a small dismasted rudderless fishing boat struggling against the waves of the sea, and was the artist's statement on a theme that had interested him for more than a decade.[2][3] Homer vacationed often in Florida, Cuba, and the Caribbean.
 Homer crossed the Gulf Stream numerous times; his first trip to the Caribbean in 1885 seems to have inspired several related works dated from the same year, including a pencil drawing of a dismasted boat, a large watercolor The Derelict (Sharks), and a larger watercolor of the forward part of the boat, Study for ""The Gulfstream"".[4] A later watercolor study was The Gulfstream of 1889, in which the disabled boat now includes a sailor and flailing shark. Additionally, there are other related watercolors; the shark in Shark Fishing of 1885 was later appropriated for The Gulfstream of 1889,[5] and a watercolor of 1899 entitled After the Hurricane  (also known as, After the Hurricane, Bahamas), in which a figure lies unconscious beside his beached boat, with waves and sky suggesting the aftermath of a storm, represents the finale of the watercolor narrative of man against nature.[6]
 Another possible inspiration for the series of watercolors and The Gulf Stream itself was McCabe's Curse, a Bahamian tale about a British Captain McCabe who in 1814 was robbed by thieves, hired a small boat in hopes of reaching a nearby island, but was caught in a storm and later died in Nassau of yellow fever; Homer saved an account of the story and pasted it into a travel guide.[5]
 A visit to Nassau and Florida between December 1898 and February 1899 immediately preceded the final painting.[8] Homer began work on the painting by September 1899, at which time he wrote: ""I painted in water colors three months last winter at Nassau, & have now just commenced arranging a picture from some of the studies.""[9] Chronologically the first of a series of major works painted by Homer in the last decade of his life, The Gulf Stream was painted in the penultimate year of the century, the year after the death of his father, and has been seen as revealing his sense of abandonment or vulnerability.[8]
 In 1900, Homer sent The Gulf Stream to Philadelphia to be exhibited at the Pennsylvania Academy of the Fine Arts, after it was returned later that year he wrote ""I have painted on the picture since it was in Philadelphia and improved it very much (more of the Deep Sea water than before).""[10] In fact, comparison with an early photograph of the painting shows that Homer not only reworked the ocean, but changed the starboard gunwale by breaking it, added the sail and the red dash of color near the waterline, made the boat's name (Anna – Key West) clearly legible, and painted in the ship at the upper left horizon[10]—possibly to mitigate the sense of desolation in the work. He then showed the painting at the Carnegie Institute in Pittsburgh, and asked $4,000 for it.[10]
 In 1906, The Gulf Stream was exhibited at the National Academy of Design, and all the members of the academy's jury petitioned the Metropolitan Museum of Art to purchase the painting.[11] Newspaper reviews of the work were mixed;[11] it was seen as more melodramatic than Homer's usual work. A reviewer in Philadelphia noted that viewers had laughed at the painting, which he referred to as ""Smiling Sharks"", describing the scene as ""a naked negro lying in a boat while a school of sharks [are] waltzing around him in the most ludicrous manner"". Another contemporary critic wrote that The Gulf Stream ""displays a certain diffusion of interest seldom seen in the canvases of [Homer's] best manner"".[12] The museum bought the painting the same year.
 Homer's intentions for The Gulf Stream are opaque. The painting has been described as ""a particularly enigmatic and tantalizing episode, a marine puzzle that floats forever in a region of unsolved mysteries.""[13] Bryson Burroughs, a onetime curator at the Metropolitan Museum, noted that it ""assumes the proportion of a great allegory if one chooses"".[14] Its drama is of a romantic and heroic vein, the man stoically resigned to fate, surrounded by anecdotal detail reminiscent of Homer's early illustrative works.[10]
 When a viewer requested an explanation for the narrative, Homer fairly bristled in response:
 I regret very much that I have painted a picture that requires any description....I have crossed the Gulf Stream ten times & I should know something about it. The boat & sharks are outside matters of very little consequence. They have been blown out to sea by a hurricane. You can tell these ladies that the unfortunate negro who now is so dazed & parboiled, will be rescued & returned to his friends and home, & ever after live happily.[15][16] The painting alludes to John Singleton Copley's 1778 composition, Watson and the Shark, as well as a handful of dramatic marine paintings of the 19th century.[8] In American Visions: The Epic History of Art in America, Robert Hughes contrasts Homer's picture with Copley's. While Copley's shark jaw is alien in form and most likely drawn from second-hand accounts, Homer's—owing to the artist's familiarity with the subject—correctly captures the sharks' anatomy. Secondly, in Copley's version, a rescue is imminent: the horizon is near and light in tone, and many boats, within the harbor and probably docked, are seen in the background. Homer's version, with its circling sharks, broken mast, lone figure, looming water spout, and open sea give a sense of abandonment. The ship at far left is so distant as to suggest that society, while present, is completely unattainable; it presents the viewer with a so-close-yet-so-far situation. These two paintings contrast in their immediacy as well.  In Watson and the Shark there is constant movement:  the boat moving forward, the downward thrust of the spear, the two men reaching down for the victim, and finally the shark which extends off the canvas.  In Homer's painting, the scene is more static:  the sharks seem to swim slowly around the boat which lolls in a trough between waves.
 References to other 19th-century paintings, including The Barque of Dante by Eugène Delacroix, The Slave Ship by J. M. W. Turner, and The Voyage of Life by Thomas Cole have been noted as well.[8] These three paintings (in the case of the Delacroix, a preliminary study) were in one of the finest public art collections in America in the mid 19th century, that of John Taylor Johnston of New York, and it is likely that Homer was familiar with the paintings; one of his own works, Prisoners from the Front, was in the same collection.[18] For art historian Nicolai Cikovsky, Jr., The Gulf Stream is more richly informed by these artistic predecessors than by Homer's direct experiences at sea, with the circling sharks derived from the tortured souls of The Barque of Dante, the dramatic sea and sky inspired by The Slave Ship, and the ""mode of pictorial utterance"" akin to The Voyage of Life.[17]
 Elements in the painting have been interpreted as possessing funereal references: in addition to the black cross in the boat's bow, the open hatch (representing a tomb), ropes (for lowering the body), broken mast and torn sail (shroud) have been cited for symbolic meanings.[19] By contrast, the boat in Homer's painting Breezing Up (A Fair Wind) of 1876 featured an anchor in its bow, symbolic of hope.[19]
The sailor in The Gulf Stream ignores these allusions, as he pays no heed to the sharks, waterspout, nor the ship in the distance, and inverts the optimism of the romantic masterpiece Raft of the Medusa painted earlier in the century by Théodore Géricault.[19]
 Homer biographer Albert Ten Eyck Gardner believed The Gulf Stream was the artist's greatest painting, and art critic Sadakichi Hartmann called it ""one of the greatest pictures ever painted in America"".[13] Later assessments have been more critical of the ""almost excessive pathos of the dr"
https://en.wikipedia.org/wiki/The_Fortune_Teller_(La_Tour),The Fortune Teller (La Tour),"The Fortune Teller is an oil painting of circa 1630 by the French artist Georges de La Tour. The work was uncovered in about 1960 and purchased that year by the Metropolitan Museum of Art in New York. François Georges Pariset described the painting in The Metropolitan Museum of Art Bulletin, attributing it to La Tour—a likely choice given the calligraphic signature at top right: ""G. de La Tour Fecit Luneuilla Lothar"" (""G[eorges] de La Tour made this, Lunéville, Lorraine""). Its authenticity has been questioned in the intervening years, notably by the English art historian Christopher Wright, but The Fortune Teller is generally accepted as La Tour's work. The artist is better known for his chiaroscuro religious compositions, in which the figures are illuminated by a single light source and lack the elaborate costume detail of The Fortune Teller's characters.
 The painting catches a moment in which a young man of some wealth is having his fortune told by the old woman at right; she takes the coin from his hand, not only in payment, but as part of the ritual in which she will cross his hand with it. Most or all of the women portrayed are gypsies, and, furthering the stereotype of the time, they are depicted as thieves. As the young man is engrossed in the fortune-telling—an act which, if discovered, would have repercussions for both him and the gypsies—the leftmost woman is stealing the coin purse from his pocket, while her companion in profile has a hand ready to receive the loot. The pale-faced girl on the boy's left is less clearly a gypsy, but is also in on the act as she cuts a medal worn by the boy from its chain. The figures in the painting are close together, as if in a play, and the composition may have been influenced by a theatrical scene.
 The modern discovery of the painting is said to be traced to a French prisoner of war who viewed La Tour's works in a monograph and found a likeness with a painting hung in a relative's castle. A knowledgeable priest identified it as a La Tour work and informed the Louvre, which entered negotiations to buy the painting. The art dealer Georges Wildenstein outbid the museum, however, purchasing the painting in 1949 for 7.5 million francs. For a decade it remained with the dealer, until in 1960 the Metropolitan Museum of Art paid an undisclosed but ""very high sum of money""[1] for The Fortune Teller. How the painting had been able to leave France became a matter of controversy in the French press, and the writer André Malraux, then French Minister of Culture, attempted to explain to the National Assembly why the work did not end up in the Louvre. It later emerged that the export licence was signed by the art historian Germain Bazin, who was head of old master paintings at the Louvre; Wright speculates that he had sufficient doubt about the work not to want it for the Louvre.[2]
 La Tour was hardly known until the beginning of the 20th century, but became extremely highly regarded from the 1920s onwards. A large number of the paintings now attributed to La Tour have surfaced from obscurity, like the Metropolitan work, since he became well-known, and have become valuable. Many were in collections with a provenance going back to the 19th century or beyond, but others first appeared in the hands of dealers, and some have always been the subject of suspicion. 
 The English art historian Christopher Wright published The Art of the Forger in 1984, a book whose central claim is that the Metropolitan Fortune Teller, along with other works attributed to La Tour, is actually a forgery of the 1920s by the artist and restorer Emile Delobre (1873–1956). Wright says that the central girl's dress parodies De la Tour's mother in ""The Newborn"" (Rennes), suggesting a satire more typical of 20th-century than 17th-century humour. The painting is related to a work called The Cheat, which exists in two different versions: one in the Louvre[3] and one in the Kimbell Art Museum, Fort Worth, Texas. The Cheat shows a group playing cards, where a young dandy is being cheated, and shares the interest in costume of The Fortune Teller. After lengthy analysis of X-ray photographs, details of the costume, and stylistic comparisons with other works, Wright concludes that of the three, only the Fort Worth Cheat is genuine.[4]
 Among his evidence is a claim that the word ""MERDE"" (French for ""shit"") could be seen in the lace collar of the young woman second from left. Anthony Blunt and others denied this, but in a letter of 1981 to The Burlington Magazine rebutting Wright's claims, two members of the Metropolitan curatorial staff accepted that the word was there, regarding it as the work of a recent restorer, and it was then removed in 1982.[5][6] Among those who joined Wright in his concerns were Diana de Marly, [7] Benedict Nicolson, editor of the Burlington Magazine, and Brian Sewell.[8]
 During the COVID-19 pandemic, the Met began a skylight replacement project that resulted in gallery closures; in response the museum loaned major works from the European collection, including 'The Fortune Teller', to the Queensland Gallery of Modern Art in an exhibition titled ‘European Masterpieces’.[9] [10]
"
https://en.wikipedia.org/wiki/Autumn_Ivy,Autumn Ivy,"Autumn Ivy (jp: 蔦紅葉図) is an Edo period painting by Japanese artist Ogata Kenzan. Done in an assortment of ink, colors, and gold on paper, the work depicts ivy in Autumn. The painting recalls an episode from The Tales of Ise in which the tale's protagonist encounters a transient monk on the path to Mount Utsu.[1]
 This Metropolitan Museum of Art article is a stub. You can help Wikipedia by expanding it."
https://en.wikipedia.org/wiki/Emma_Van_Name,Emma Van Name,"Emma Van Name also known as Little Girl in Pink With a Goblet Filled With Strawberries is a 1805 portrait painting by self-taught American folk artist Joshua Johnson and is in the collection of the Metropolitan Museum of Art.[1]
 The work depicts a female toddler from Maryland and was painted in Baltimore.[1][2]
 It was rediscovered in the late 1950s by New York folk and modernist art dealer, Edith Halpert.[3] Afterward, it was included in numerous international exhibitions and is considered an icon of American folk painting.[4]
 After being acquired by Edgar William Garbisch and his wife, Bernice Chrysler Garbisch they donated it to the Whitney Museum of American Art in 1970. However, the museum made a decision in 1978 to focus on ""collecting in the 20th century.'' In 1988, it was sold for $660,000 at Sotheby's to art dealer Alexander Acevedo, more than 14 times the previous record at auction for any of Johnson's work.[4] Sotheby's folk-art specialist Nancy Druckman described it as ""one of the most widely exhibited folk portraits.""[4]
 After the auction closed, actor Bill Cosby, owner of multiple Johnson works, was a critic of the sale.[4]
 The work was acquired by The Metropolitan Museum of Art in 2016.[5]
"
https://en.wikipedia.org/wiki/Comtesse_de_la_Ch%C3%A2tre,Comtesse de la Châtre,"Comtesse de la Châtre is a 1789 painting by Élisabeth Vigée Le Brun which is in the collection of the Metropolitan Museum of Art in New York.[1]
 The portrait depicts Comtesse de la Châtre,[2] wife of the Comte de la Châtre and future wife of François Arnail de Jaucourt. She had a penchant for wearing white muslin dresses, both for daily purposes and for portraits.
 The artist, Élisabeth Vigée Le Brun, was a French painter who painted some 600 portraits in addition to landscapes.
 The work is on view at The Metropolitan Museum's Gallery 631.
 
 This article about an eighteenth-century painting is a stub. You can help Wikipedia by expanding it."
https://en.wikipedia.org/wiki/Arab_Woman_(watercolor),Arab Woman (watercolor),"Arab Woman is a watercolor painting by American artist John Singer Sargent, created c. 1905-1906. It is in the collection of the Metropolitan Museum of Art, in New York.[1]
 Prominent American painter John Singer Sargent took two notable trips to the Middle East during his lifetime; the first trip was to Greece, Egypt, and Turkey in 1890, while the second was to the-then Ottoman provinces of Syria and Palestine in 1905. These trips spurred Sargent to create a number of works of art concerning various subjects.[1]
 Arab Woman was produced by Sargent during his one of his travels in the Middle East. The image, done in watercolor and gouache on woven white paper, depicts a veiled Muslim woman wearing a white niqāb. According to an inscription left by Sargent on the painting, the work is incomplete.[1]
 This article about a nineteenth-century painting is a stub. You can help Wikipedia by expanding it."
https://en.wikipedia.org/wiki/Altman_Madonna,Altman Madonna,"The Altman Madonna or 'Holy Family with St Mary Magdalene is a glue-tempera and gold on canvas painting, measuring 57.2 by 45.7 cm and dating to 1495-1505. Painted by Andrea Mantegna, it is now in the Metropolitan Museum of Art in New York.[1]
 Its use of canvas and its stylistic similarities to works such as the Trivulzio Madonna date it to the painter's late period. The fruit hedge in the background recalls the Trivulzio Madonna as well as the Madonna della Vittoria. It may have been the work seen in the Ospedale degli Incurabili in Venice by Marco Boschini and described as similar to the Holy Family with a Female Saint (Museo di Castelvecchio, Verona).
 It was sold in 1902 by Agosto d'Aiuti, a Neapolitan count, to an English antiquarian in London.[2] After passing through various owners, it was acquired in 1912 by the American collector Benjamin Altman, who bequeathed it to the Metropolitan Museum in 1913[3]
"
https://en.wikipedia.org/wiki/Hagar_in_the_Wilderness,Hagar in the Wilderness,"Hagar in the Wilderness is an oil-on-canvas painting executed by the French artist Camille Corot in 1835. The painting depicts the biblical figure Hagar as she wanders through the wilderness of Beersheba. Specifically, the painting renders the moment in which Hagar and her newborn son Ishmael experience divine salvation, seen via Corot's inclusion of an angel in the back center of the painting. Much of the landscape seen in the work is derived from Corot's earlier nature studies.[1]
 Hagar is in the collection of the Metropolitan Museum of Art, in New York.[1]
 This Metropolitan Museum of Art article is a stub. You can help Wikipedia by expanding it."
https://en.wikipedia.org/wiki/Beauty_Revealed,Beauty Revealed,"
 Beauty Revealed is an 1828 self-portrait by the American artist Sarah Goodridge, a watercolor portrait miniature on a piece of ivory. Depicting only the artist's bared breasts surrounded by white cloth, the 6.7-by-8-centimeter (2.6 by 3.1 in) painting, originally backed with paper, is now in a modern frame. Goodridge, aged forty when she completed the miniature, depicts breasts that appear imbued with a ""balance, paleness, and buoyancy"" by the harmony of light, color, and balance. The surrounding cloth draws the viewer to focus on them, leading to the body being ""erased"".[1]
 Goodridge gave the portrait to statesman Daniel Webster, who was a frequent subject and possibly a lover, following the death of his wife; she may have intended to provoke him into marrying her. Although Webster married someone else, his family held onto the portrait until the 1980s, when it was auctioned at Christie's and acquired by Gloria and Richard Manney in 1981. The couple donated or sold the miniatures of their art collection, including Beauty Revealed, to the Metropolitan Museum of Art in 2006.
 Beauty Revealed is a self-portrait by Sarah Goodridge, depicting her bared breasts,[2] pink nipples,[1]  and a beauty mark.[3] These are presented in a gradation of color, giving a three-dimensional effect.[1] Although Goodridge was aged forty when she painted this miniature, according to art critic Chris Packard her breasts seem younger, with a ""balance, paleness, and buoyancy"" which is imbued in part by the harmony of light, color, and balance.[1] The breasts are framed by a swirl of pale cloth, which in parts reflects the light.[1][3]
 The 6.7-by-8-centimeter (2.6 by 3.1 in) painting is set in a case;[4] it had originally been installed on a paper backing which had the date ""1828"" on the reverse.[5] The work is a watercolor painting on ivory,[6] thin enough for light to shine through and thus allow the depicted breasts to ""glow"".[1] This medium was common for American miniatures,[7] but in this case also served as a simile for the flesh presented upon it.[3]
 Beauty Revealed was completed during a period of popularity of portrait miniatures, a medium which had been introduced in the United States in the late 18th century. By the time Goodridge completed her self-portrait, miniatures were increasing in complexity and vibrance.[7] The Heilbrunn Timeline of Art History describes Beauty Revealed as a play on the eye miniatures which were then popular as tokens of affection in England and France, but not common in the United States.[6][8] Such miniatures allowed portraits of loved ones to be carried by their suitors without revealing the sitters' identities.[8]
 Goodridge was a prolific Boston-based portrait miniature painter who had studied under Gilbert Stuart and Elkanah Tisdale.[1] She had a long-term association with  Daniel Webster, a politician who began services as senator from Massachusetts in 1827. Webster sent her more than forty letters between 1827 and 1851, and in time, his greetings to her became increasingly familiar; his last letters were addressed to ""My dear, good friend"", which was uncharacteristic of his usual writing style.[5] She, meanwhile, painted him more than a dozen times and left her hometown of Boston to visit him in Washington, D.C. at least twice, once in 1828 after his first wife's death and again in 1841–42, when Webster was separated from his second wife.[6]
 Goodridge completed Beauty Revealed in 1828, likely from looking at herself in a mirror. Several works have been cited as possible inspirations, including John Vanderlyn's Ariadne Asleep on the Island of Naxos[9] and Horatio Greenough's sculpture Venus Victrix.[1] Goodridge sent her portrait to Webster when he was a new widower,[3][6] and, based on its miniature format, it was likely intended for his eyes alone.[1] The American art critic John Updike suggests that the artist intended it to offer herself to Webster; he writes that the bared breasts appear to say ""We are yours for the taking, in all our ivory loveliness, with our tenderly stippled nipples"".[10] Ultimately, however, Webster married another, wealthier woman.[3]
 After Webster's death, Beauty Revealed continued to be handed down by his family, together with another self-portrait Goodridge had sent to him. The politician's descendants held that Goodridge and Webster had been engaged. The painting was eventually auctioned through Christie's,[8] with a list price of $15,000,[11] and passed through Alexander Gallery of New York later that year before being purchased by New York-based collectors Gloria and Richard Manney.[5][12] The couple included Beauty Revealed in the exhibition ""Tokens of Affection: The Portrait Miniature in America"" in 1991, which toured to the Metropolitan Museum of Art (Met) in New York, the National Museum of American Art in Washington, D.C., and the Art Institute of Chicago.[12][13]
 Beauty Revealed was one of more than three hundred portrait miniatures compiled by the couple, who gave it to the Met in 2006, as part of a gift/purchase arrangement of their collection. Carrie Rebora Barratt and Lori Zabar of the Met describe Goodridge's self-portrait as the most compelling of the ""strange and wonderful"" miniatures by minor artists in the collection.[14] Two years later, Beauty Revealed was included in a retrospective, ""The Philippe de Montebello Years: Curators Celebrate Three Decades of Acquisitions"", which showcased works acquired under the tenure of retiring Met director Philippe de Montebello. Holland Cotter of The New York Times highlighted Goodridge's self-portrait, describing it as ""remarkable"".[2] In 2009, authors Jane Kamensky and Jill Lepore drew inspiration from Beauty Revealed (as well as other paintings, such as John Singleton Copley's Boy with a Squirrel) for their novel Blindspot.[15] As of 2014[update], the Met's website lists Beauty Revealed as not on display.[16]
 Art historian Dale Johnson described Beauty Revealed as ""strikingly realistic"", demonstrative of Goodridge's ability to portray nuanced lights and shadows. She found the stippling and hatching used in creating the painting to be delicate.[8] Writing in Antiques in 2012, Randall L. Holton and Charles A. Gilday said that the painting continued to present a self that evokes a ""frisson of erotic possibility"".[9]
 Packard wrote that Beauty Revealed served as a sort of visual synecdoche, representing the entirety of Goodridge through her breasts. As opposed to the ""burdened"" 1845 self-portrait and the non-eroticized one of 1830, he found Beauty Revealed to forefront Goodridge and her demand for attention. Arguing that the clothing surrounding her breasts served to indicate a performance (similar to the curtains of vaudeville), Packard described the viewer's eyes being focused on the breasts, while the rest of Goodridge's body was erased and abstracted.[1] This, he stated, challenged the assumptions and stereotypes regarding the demure, homebound 19th-century woman.[1]
 
"
